name,AngelList_website,tagline
Chronogolf,https://angel.co/company/chronogolf,Connect golfers to their favorite courses.
navisens,https://angel.co/company/navisens,3D location. No WiFi. No GPS. No beacons. Bloomberg Top 50 startup of 2017
native.ad,https://angel.co/company/nativead,The automated native advertising full-stack platform 
Crowd Supply,https://angel.co/company/crowd-supply-1,Where engineers and designers crowdfund awesome new products.
OpenEd,https://angel.co/company/opened,Assessment to Instruction with the Largest K-12 Resource Library
Hubble,https://angel.co/company/hubblehq,Online marketplace for office space
F50,https://angel.co/company/f50,Venture Capital Syndication Platform
Poka,https://angel.co/company/poka,Social Industrial Network
Quantiacs,https://angel.co/company/quantiacs,Democratizing the Hedge Fund Industry 
ArtCraft Entertainment,https://angel.co/company/artcraft-entertainment,Creating online experiences for core audiences
Dokkio,https://angel.co/company/dokkio,
Gamer Sensei,https://angel.co/company/gamer-sensei,The Professional eSports Coaching Platform
Stowga,https://angel.co/company/stowga,Warehousing as a Service
GoMeta,https://angel.co/company/gometa,
Fuse Powered,https://angel.co/company/fuse-powered,
Formative,https://angel.co/company/formative,Real-Time Formative Assessment Platform
Presence,https://angel.co/company/hellopresence,Student engagement platform for universities to track and improve student engagement.
PumpUp,https://angel.co/company/pumpup,Community for Health & Fitness
Vouchr,https://angel.co/company/vouchr,Engagement Platform for Digital Money
VIMOC Technologies,https://angel.co/company/vimoc-technologies,Powerful AI distributed edge computing platform
Matchbox,https://angel.co/company/matchbox,
Measurabl,https://angel.co/company/measurabl,Sustainability for the Built World.
Monsieur,https://angel.co/company/monsieur,Artificially Intelligent Robotic Bartender
Localeur,https://angel.co/company/localeur,Local places recommended by locals.
Armor5,https://angel.co/company/armor5-1,Zero Touch Cloud Security Service
Skedaddle,https://angel.co/company/skedaddle,Start and join bus rides to go anywhere
Top Flight Technologies,https://angel.co/company/top-flight-technologies,Commercial High Tech UAVs
Storj Labs,https://angel.co/company/storj,Distributed Cloud Storage
TritonWear,https://angel.co/company/tritonwear,Advanced sports wearables with industry leading accuracy and AI based auto-coaching.
Hobnob,https://angel.co/company/hobnob,Make Life Happen -  The dashboard for real-life groups
Vocate,https://angel.co/company/vocate,Vocate is the online evolution of the university career center.
Koan,https://angel.co/company/koan,
HowGood,https://angel.co/company/howgood-1,Rating grocery products for the greater good
Castle,https://angel.co/company/castle-3,
Inbot,https://angel.co/company/inbot,Your mobile sales assistant.
TranscribeMe!,https://angel.co/company/transcribeme,High Quality Enterprise Speech Recognition
Molecule,https://angel.co/company/molecule,FinTech SaaS for Energy Trading
Ematic,https://angel.co/company/ematic-solutions,"Smarter Email Marketing, powered by AI."
iFunding,https://angel.co/company/ifunding,Revolutionizing Real Estate Investing
Videoo,https://angel.co/company/videoo,Collaborative video player for the shared economy
CarePlanners,https://angel.co/company/careplanners,Making life easier for family caregivers (90M+ Americans) (LearnVest for caregiving)
Driftrock,https://angel.co/company/driftrock,"Acquire, Measure and Convert more customers from Facebook, LinkedIn and Google. "
MarianaIQ,https://angel.co/company/marianaiq,AI-Powered ABM Platform
CultureIQ,https://angel.co/company/cultureiq-1,Helping companies strengthen their culture
Mapistry,https://angel.co/company/mapistry,"Environmental Compliance Software, Services & Training"
Kite & Lightning,https://angel.co/company/kite-lightning,Advanced Building Automation / A.I.
Bento Labs,https://angel.co/company/bento-labs,Mobile Search and Discovery 
Unocoin,https://angel.co/company/unocoin,India's Bitcoin & Blockchain Company
Unseen,https://angel.co/company/unseen-1,"Social network absent of profiles, history, or limits"
Gradescope,https://angel.co/company/gradescope,"Grade paper assignments in half the time, with analytics."
Enwoven,https://angel.co/company/enwoven,Capture and share your team's most important insights.
EverlyWell,https://angel.co/company/everlywell,Next-Generation Health Testing Platform
Bento for Business,https://angel.co/company/bento-for-business,
Markett,https://angel.co/company/markett,The Future of Marketing
Gravity R&D,https://angel.co/company/gravityrd,Creating relevant user experiences
Wheretoget,https://angel.co/company/wheretoget,We make fashion inspirational content shoppable
Azendoo,https://angel.co/company/azendoo,Slack meets Asana (but your mom can use it)
Kiwi,https://angel.co/company/kiwi-ai,software that helps people quit smoking
Chiron Health,https://angel.co/company/chiron-health,Fully reimbursable video visits for physician practices
PlayRaven Oy,https://angel.co/company/playraven-oy,Strategy Games For Touch Screens
Presdo,https://angel.co/company/presdo,LinkedIn for conferences
Foko,https://angel.co/company/foko,Company Photo Sharing
Barnraiser,https://angel.co/company/barnraiser,"Discover, fund & buy the best in good food & healthy living"
Indicative,https://angel.co/company/indicative,Turn insight into action with Behavioral Analytics
ClassWallet,https://angel.co/company/classwallet,Paper trail. Without the paper
KickUp,https://angel.co/company/kickup-1,K-12 professional development data analytics
Polly Portfolio,https://angel.co/company/polly-portfolio,Interactive portfolio management
SAY Wear,https://angel.co/company/hermes-innovation,Wearable Social Media Platform
VINA,https://angel.co/company/vina,"Connecting, empowering, & celebrating women through technology."
"American Prison Data Systems, PBC",https://angel.co/company/american-prison-data-systems-pbc,"Changing corrections, for GOOD!"
Contraline,https://angel.co/company/contraline,"A long-lasting, reversible contraceptive for men"
Grove Labs,https://angel.co/company/grove-labs-2,
Nift Networks,https://angel.co/company/nift-networks,
Ada,https://angel.co/company/ada-support,Ada makes it easy to automate your chat support
Grape,https://angel.co/company/chatgrape,Meet the world's fastest enterprise business chat.
Transfluent,https://angel.co/company/transfluent,Uber of language translation
Whodini,https://angel.co/company/whodini,
Inbox Health,https://angel.co/company/inbox-health,Reinventing Patient Billing and Payments
Inteliclinic,https://angel.co/company/inteliclinic,Maker of Neuroon Inteligent Sleep mask @Skydeck UC Berkeley
Frameri,https://angel.co/company/frameri,"One lens, many frames."
Jurispect,https://angel.co/company/jurispect,The future of regulatory intelligence
Fitbay.com,https://angel.co/company/fitbay-com,See what people like you are wearing
Code Kingdoms,https://angel.co/company/code-kingdoms,An online platform for kids to learn to code.
Stellar Development Foundation,https://angel.co/company/stellar-development-foundation,Open source financial access for all.
bitHound,https://angel.co/company/bithound,"Code quality, maintainability, and stability"
Lendable,https://angel.co/company/lendable,Making developing world consumer debt an investable asset class.
Blyncsy,https://angel.co/company/blyncsy,Data on the habits and trends of people in the real-world
Bulletin,https://angel.co/company/bulletin,Democratizing retail for online brands.
Tribe App,https://angel.co/company/tribe,Live battle your friends!
Big Drop NYC,https://angel.co/company/big-drop-nyc,
Alluvium,https://angel.co/company/alluvium,
RiskRecon,https://angel.co/company/riskrecon,
CognitiveLogic,https://angel.co/company/cognitivelogic,
Blanket,https://angel.co/company/blanket,Book more sales demos.
Reviewpro,https://angel.co/company/reviewpro,
Viewsy,https://angel.co/company/viewsy,Physical world analytics
Create,https://angel.co/company/create-2,Smart 3D maps packed with city & property data
CrowdRiff,https://angel.co/company/crowdriff,Visual Marketing Platform
Statflo,https://angel.co/company/statflo,Reinventing wireless customer service
GroundCntrl,https://angel.co/company/groundcntrl,Business Intelligence for Retail
GetSet,https://angel.co/company/getset,Instant connections and support
MortgageHippo,https://angel.co/company/mortgagehippo,Your Digital Lending Platform
Augmented Pixels,https://angel.co/company/augmented-pixels,"Computer vision, SLAM, 3d mapping for mobile devices, robots and drones."
FOSSA,https://angel.co/company/fossa,Effortlessly comply with open source licenses.
Pinrose,https://angel.co/company/pinrose,
Hivemapper,https://angel.co/company/hivemapper,Build maps that see and reveal changes
Swiftmile,https://angel.co/company/swiftmile,Charging systems for micro-mobility market
KaChing!,https://angel.co/company/kaching-4,Disruptive mobile marketing platform
Task & Purpose,https://angel.co/company/task-purpose,Vice media for the military and veteran community
TopFan,https://angel.co/company/topfan,Next Generation Fan Communities
b.well Connected Health,https://angel.co/company/bwellconnectedhealth,Personal Health Management Platform
Rheo,https://angel.co/company/copper-studios,TV reinvented. Stay tuned.
AVA,https://angel.co/company/ava-10,Total Equity Funding
Joy,https://angel.co/company/joy-18,The world's first interactive photo album.
Silentale,https://angel.co/company/silentale,Customer Data Science Platform
MetaCert,https://angel.co/company/metacert-security,Security for Messaging Apps
Tilofy,https://angel.co/company/tilofy,World's first automated trend forecasting platform
Pryv,https://angel.co/company/pryv-1,"Data & Privacy, Managed."
Tappr,https://angel.co/company/tappr-1,Digital Merchant Services for SMEs and Financial Institutions. 
Lily AI,https://angel.co/company/lilyai,Emotionally Intelligent AI for Fashion Retail
Shuttersong,https://angel.co/company/shuttersong-1,Add sound to a photo
HotelRunner,https://angel.co/company/hotelrunner,"Bringing hotels, travel agencies and service providers together online to boost sales"
Orah,https://angel.co/company/videostitch,VR / 360 video solutions
Omnidrone,https://angel.co/company/omnidrone,
Styla,https://angel.co/company/styla,AI powered Content Commerce technology that automates design decisions
AdYapper,https://angel.co/company/adyapper-2,
Outlearn,https://angel.co/company/outlearn,
Autonomous Marine Systems,https://angel.co/company/autonomous-marine-systems-1,Bringing the drone revolution to the seas
BrainCheck,https://angel.co/company/braincheck,Mobile Cognitive Health Assessment Platform
JOY Behavioral Technologies for Families,https://angel.co/company/joyfamilytech,We make the world happier and successful via the superpowers of coaching & daily routines.
Espresa,https://angel.co/company/espresa,
Lightning Labs,https://angel.co/company/lightning,We scale blockchains.
Volley (volley.com),https://angel.co/company/volley-labs,A magic lens to learning anything.
Slab,https://angel.co/company/slabhq,Your team's long-term memory.
Rhythm Superfoods,https://angel.co/company/rhythm-superfoods,
Go Factory,https://angel.co/company/go-factory,Platform as a Service for the Internet of Everything
FileString,https://angel.co/company/filestring,FileString enables people to control the distribution of their most important content.
Shadow Puppet,https://angel.co/company/shadow-puppet,Empowering kids to create and share
Kyron,https://angel.co/company/kyron,Big data for clinical insight
NuMat Technologies,https://angel.co/company/numat-technologies-2,"Changing the way the world stores, separates, and transports gases."
Mish Guru,https://angel.co/company/mish-guru,Our software helps brands around the world tell better stories on Snapchat and Instagram.
OBMedical,https://angel.co/company/obmedical,
JustOne Database,https://angel.co/company/justone-database,
Audiam,https://angel.co/company/audiam,
Butterfly,https://angel.co/company/butterfly-ai,Making executive coaching accessible to every manager
CargoSense,https://angel.co/company/cargosense,
Echo,https://angel.co/company/echo-9,The simple way to manage your repeat prescriptions.
Jolt,https://angel.co/company/jolt-6,Professional Development 
Atlas Obscura,https://angel.co/company/atlas-obscura-1,The definitive guide to the world’s hidden wonders.
GrokStyle,https://angel.co/company/grokstyle,Visual search and recommendation
Woo,https://angel.co/company/woo-5,
TellusLabs,https://angel.co/company/telluslabs,Spaceborne insights that matter
Cyberhaven,https://angel.co/company/cyberhaven,Simple and effective document security for enterprises
kwik,https://angel.co/company/kwik,
Junglee Games,https://angel.co/company/junglee-games,The Fastest Growing Skill Games Company. 20 million+ users. $500M+ GMV
Blaast,https://angel.co/company/blaast,
Pogoseat,https://angel.co/company/pogoseat,Live Event Upgrades (@AngelPad)
VETTED,https://angel.co/company/vetted,Automated supplier management (TS '13)
SolveBio,https://angel.co/company/solvebio,Genomic Intelligence Platform
Basket,https://angel.co/company/basketsavings,Never overpay for groceries again.
Dil Mil,https://angel.co/company/gravitygroup,Fastest growing South Asian dating app
Stitch,https://angel.co/company/stitch,"Dating, companionship, travel & activities for older adults"
Lugg,https://angel.co/company/lugg,On-Demand Moving & Delivery (YC S15)
Smarking,https://angel.co/company/smarking,Data Analytics for Parking
Allay,https://angel.co/company/allay,A modeling and quoting platform for self insured health plans. (AngelPad#8) 
Seneca Systems,https://angel.co/company/seneca-systems,Strengthen the vital bond between the government and its people.
Revolar,https://angel.co/company/revolar,Techstars Boulder 2015 & 2017 | Wearable personal safety
Betterview,https://angel.co/company/betterviewmarketplace,Building Insight
Flip,https://angel.co/company/livewithflip,Flexible housing.
Arsenic,https://angel.co/company/arsenic,"A mobile-first, user-submission based platform for millennials."
Validere,https://angel.co/company/validere-technologies,Automating lab testing for energy industry
Morty,https://angel.co/company/morty,Your smart home mortgage. We're hiring!
TARA.AI,https://angel.co/company/tara-ai,"TARA is the intelligent product builder, managing software builds from start to finish."
Stedi,https://angel.co/company/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.
Nail Your Mortgage,https://angel.co/company/nail-your-mortgage,We are the Orbitz/Expedia of the mortgage industry
Amicus,https://angel.co/company/amicus,Digital outreach & fundraising tools for nonprofits (YC S12)
Pay By Group,https://angel.co/company/paybygroup,The buy button for split payments.
iQ Technologies,https://angel.co/company/iq-technologies,Smart Social Learning and Collaboration Solutions
Databox,https://angel.co/company/databox,Mobile-first Business Analytics
Nimble,https://angel.co/company/nimble,Smarter Relationship Management. Nimble transforms who you know into how you grow.
Jawfish Games,https://angel.co/company/jawfish-games,"Real-Time, Multiplayer Tournaments for Mobile -- Stop Playing With Yourself"
Buzzd,https://angel.co/company/buzzd,
Kohort,https://angel.co/company/kohort,For your groups.
Spritz,https://angel.co/company/spritz,Our mission is to change the way people read.
Savored,https://angel.co/company/savored,
Iddiction,https://angel.co/company/iddiction,Mobile distribution platform. 
Nimble CRM,https://angel.co/company/nimble-crm,
Crossfader,https://angel.co/company/crossfader,Global Remix Community
Vengo,https://angel.co/company/vengo,Point-of-Purchase consumer engagement platform
Perch,https://angel.co/company/perch-interactive,Revolutionary Interactive Technology for Retail
Brandfolder,https://angel.co/company/brandfolder,The Standard for Brand and Digital Asset Management
Pathgather,https://angel.co/company/pathgather,Next-generation learning for enterprise (Techstars '14)
BuysideFX,https://angel.co/company/buysidefx,"FX Trading so Powerful, it's Simple."
Frontback,https://angel.co/company/frontback,"Me, now."
Hangtime,https://angel.co/company/hangtime-1,Kayak for events
Sqord,https://angel.co/company/sqord,Fitbit for kids
Kalibrr,https://angel.co/company/kalibrr,Southeast Asia's #1 Jobs Platform
OKpanda,https://angel.co/company/okpanda,Helping the World Learn English
CrowdMed,https://angel.co/company/crowdmed,CrowdMed empowers anyone to solve medical mysteries.
Beep Networks,https://angel.co/company/beep-networks,
Podo Labs,https://angel.co/company/podo-labs,Company with experience in user-friendly consumer products
Doorman,https://angel.co/company/doorman-1,Package delivery customers love
OneFold,https://angel.co/company/onefold,
Shopcade,https://angel.co/company/shopcade-1,Your Personal Shopping App
Moonfrye,https://angel.co/company/moonfrye,Digital to real world product that inspires creativity in families
Peerform,https://angel.co/company/peerform,Marketplace Lending - P2P Lending
MULTICHANNEL,https://angel.co/company/multichannel-1,Cross-Channel marketing powered by Artificial Intelligence
Interior Define,https://angel.co/company/interior-define,Custom furniture made comfortable. 
Bedrock Data,https://angel.co/company/bedrock-data,Cloud data integration made easy.
BlockCypher,https://angel.co/company/blockcypher,Amazon Web Services for block chains
Original Stitch,https://angel.co/company/original-stitch,"For every $1 we invest, we make $7 returns in 1 year."
Lully,https://angel.co/company/lully,We Fix Sleep
Growbots,https://angel.co/company/growbots,Outbound sales. 5 minutes a day. In one place
Sweet,https://angel.co/company/save-with-sweet,Stop overpaying for phone service.
Mitoo,https://angel.co/company/mitoo,The platform for the world's sports
Sunshine,https://angel.co/company/sunshine,For the modern individuals who crave wellness and the inspiration to live a healthier life
OwnLocal,https://angel.co/company/ownlocal,Automated advertising to SMBs through local media (Y Combinator W10)
Demeure,https://angel.co/company/demeure,Next generation travel marketplace
ThingLink,https://angel.co/company/thinglink,Image is a media platform. 
Authy,https://angel.co/company/authy,Building the strong authentication platform for the cloud.
gopogo,https://angel.co/company/gopogo,"Create, discover and share experiences."
Little Bird,https://angel.co/company/little-bird,(Acquired by Sprinklr in 2016) Turning social data into competitive advantage.
Battlefy,https://angel.co/company/battlefy,"The easiest way to start, manage, and find esports tournaments"
Campaign,https://angel.co/company/campaign,A vertically integrated online furniture brand.
Skilljar,https://angel.co/company/skilljar,Customer training made simple
MailTime,https://angel.co/company/mailtime,The Email Messenger (YC W16)
Confide,https://angel.co/company/confide,Your Off-the-Record Messenger
MoneyHero.com.hk,https://angel.co/company/moneyhero-com-hk,Hong Kong's Leading Price Comparison Site
Tenjin,https://angel.co/company/tenjin,Mobile marketing analytics and growth infrastructure
WhoKnows,https://angel.co/company/whoknows,Introducing the first cognitive business network
Farm Hill,https://angel.co/company/farm-hill,"Hand-crafted, wholesome food for your entire office."
Super,https://angel.co/company/super,Subscription service provides care & repair for your home
Riley,https://angel.co/company/getrileynow,MailChimp for SMS
indee labs,https://angel.co/company/indee-labs,Scalable hardware for gene delivery.
Firsthand,https://angel.co/company/firsthand,#1 Alumni mentoring and engagement platform
MakieLab,https://angel.co/company/makielab,Custom Toys
Mozio,https://angel.co/company/mozio,The Ultimate Urban Mobility Solution
Quake Labs,https://angel.co/company/quake-labs,Stealth startup by Apple veterans
Trouva,https://angel.co/company/wearetrouva,Curating independent boutiques online
Retention Logic,https://angel.co/company/lootsie,"Retention Logic makes loyalty programs ""smart."""
Locket,https://angel.co/company/locket,
Beyond Pricing,https://angel.co/company/beyondpricing,Dynamic Pricing for Vacation Rentals
Man Crates,https://angel.co/company/mancrates,No-BS ecommerce
ClientSuccess,https://angel.co/company/clientsuccess,Success is the new sales - the customer success management platform
Blockspring,https://angel.co/company/blockspring,Easily get data from the web into the business tools you use everyday.
Metricstory - a Techstars Company,https://angel.co/company/metricstory,Machine learning turns web analytics into insights automatically.
REVL,https://angel.co/company/revl-inc,The stabilized camera that edits your videos for you
Skopenow,https://angel.co/company/skopenow,An analytical search engine for fraud and risk.
Gorgias,https://angel.co/company/gorgias,A customer support helpdesk specially designed for Shopify stores
Wade & Wendy,https://angel.co/company/wadeandwendy,Conversational AI to make hiring more human 
Boom Fantasy,https://angel.co/company/boom-shakalaka,The Leader in Simplified Fantasy Sports Gaming
Predata,https://angel.co/company/predata,Predictive Analytics for Geopolitical Risk
sixa,https://angel.co/company/sixa,Full computer in an app
Snappr (YC W17),https://angel.co/company/snappr-photography,Snappr is the most popular on-demand photography network in the world.
ExpertFile,https://angel.co/company/expertfile,The World's First Expert Network curated by Corporations & Institutions 
Voxeet,https://angel.co/company/voxeet,Enabling In-Flow Communication 
Strategic Blue,https://angel.co/company/strategic-blue-1,Futures Trading for Cloud. Tailored pricing & billing solutions for users & providers
TrekkSoft,https://angel.co/company/trekksoft,Website builder with integrated booking system
sonarDesign,https://angel.co/company/sonardesign,easily create interactive experiences and instantly distribute to any device
firstAI,https://angel.co/company/firstai,Fixed Income Machine Intelligence
FEM,https://angel.co/company/fem,Video Discovery
GameOn Technology,https://angel.co/company/gameon,"Chat, Come to Life"
ilos,https://angel.co/company/ilos,The Video Platform for Education and Training
Zenflow,https://angel.co/company/zenflow-1,Innovative therapy for benign prostatic hyperplasia
RageOn!,https://angel.co/company/rageon,Merchandising Made Easy!
Siren,https://angel.co/company/siren-care,Using Neurofabrics to help people with diabetes avoid foot ulcers and amputations
Raden,https://angel.co/company/raden,The case for better travel.
Resource,https://angel.co/company/resource-io,A new standard in recruiting
Ample Foods,https://angel.co/company/ample-3,"Optimally nutritious meal-in-a-bottle for busy, health-conscious people."
Teampay,https://angel.co/company/teampay,Teampay modernizes how companies manage spend.
VINAYA,https://angel.co/company/vinaya,Decoding emotions and maximising human potential
The Happy Home Company,https://angel.co/company/the-happy-home-company-3,
Gameflip,https://angel.co/company/gameflip,The transparent and secure global digital marketplace for video gamers
Ask Lorem,https://angel.co/company/loremtech,Instant access to high-quality & affordable freelance talent. (We're hiring!)
BigML,https://angel.co/company/bigml,Machine  Learning made easy
Rolltech,https://angel.co/company/rolltech,Like Strava for bowling
Naya Health,https://angel.co/company/nayahealth,Reinventing Nutrition
Paracosm,https://angel.co/company/paracosm,Mobile reality capture and visualization tools for construction teams.
Soofa,https://angel.co/company/soofa,Outdoor media for digital marketers big and small.
Unmade,https://angel.co/company/unmade,Unmade is a global fashion software company driving innovation through customisation.
ClearGraph,https://angel.co/company/cleargraph,Organizing enterprise data to make it searchable and actionable
Envoy - HelloEnvoy,https://angel.co/company/envoy-helloenvoy,Take better care of your parents
Groove,https://angel.co/company/groove-co,Sales Engagement Platform
Zentist,https://angel.co/company/zentist,"A Smart, Affordable Dental Treatment That Works For You"
OneUni,https://angel.co/company/oneuni,Smartphone-Based Degrees From Top Universities
Revlo (YC S16),https://angel.co/company/revlo,Fan engagement platform for live gaming
Clara,https://angel.co/company/clarahealth,Empower patients to find the right clinical trial for them.
Rentlytics,https://angel.co/company/rentlytics-1,Commercial Real Estate Analytics and Intelligence
Confirm.io (Acquired by Facebook),https://angel.co/company/confirm-io,Linking physical and digital identities
EarnUp,https://angel.co/company/earnup,Intelligent loan payment automation.
Roam,https://angel.co/company/roam-10,
Minio,https://angel.co/company/minio,
WaystoCap,https://angel.co/company/waystocap,Alibaba for Africa
Privacy Labs,https://angel.co/company/privacylabs,Take Back Your Data
Zype,https://angel.co/company/zype,The video content management and distribution infrastructure company.
Vouchr,https://angel.co/company/vouchr,Engagement Platform for Digital Money
VIMOC Technologies,https://angel.co/company/vimoc-technologies,Powerful AI distributed edge computing platform
Bonusly,https://angel.co/company/bonusly,Make recognition fun. Love your work.
Countable,https://angel.co/company/countable,Cause Marketing Platform
Music Audience Exchange,https://angel.co/company/music-audience-exchange,Technology that redefines brand-artist partnerships
NeoReach,https://angel.co/company/neoreach,Influencer Marketing Software For Big Brands
Pacemaker ®,https://angel.co/company/pacemakermusic,Create and share mixtapes with streamed music. 
Identify3D,https://angel.co/company/identify3d,Enabling the Digital Supply Chain
Enwoven,https://angel.co/company/enwoven,Capture and share your team's most important insights.
EverlyWell,https://angel.co/company/everlywell,Next-Generation Health Testing Platform
Vocate,https://angel.co/company/vocate,Vocate is the online evolution of the university career center.
Forge,https://angel.co/company/joinforge,"Talent Sharing Network (""TSN"") for the Service Industry"
Homebot,https://angel.co/company/homebot,Consumer app for mortgage lenders and real estate agents to maximize client retention.
Deep Genomics,https://angel.co/company/deep-genomics,
ChangeTip,https://angel.co/company/changetip-2,
AdQuick,https://angel.co/company/adquick,"Buy & Sell Outdoor Advertising — Billboards, Transit, & more"
so-sure,https://angel.co/company/so-sure,Restoring consumer trust in insurance by taking it back to its 17th century roots 
Moesif,https://angel.co/company/moesif,API Analytics to Grow API Platforms
Clark,https://angel.co/company/clark-6,The virtual assistant for your tutoring business
Gravity R&D,https://angel.co/company/gravityrd,Creating relevant user experiences
Zooppa,https://angel.co/company/zooppa,Video and design crowdsourcing platform for marketers and advertisers
m›PATH,https://angel.co/company/m-path,Idea to Mobile App in Minutes
